,Make,Model,Price (£),Mileage,Registration Year,Registration Month,Gearbox,Fuel Type,N of Owners
1202,Nissan,Qashqai,12350,46767,2017,7,Manual,Petrol,2
1203,Peugeot,2008,12350,26729,2019,3,Manual,Petrol,1
1204,Ford,Fiesta,12350,28795,2019,3,Manual,Petrol,1
1205,Ford,Fiesta,12350,20569,2019,9,Manual,Petrol,1
1206,Fiat,Panda,12350,9276,2017,2,Manual,Petrol,1
1207,Ford,Fiesta,12350,24290,2018,12,Manual,Petrol,1
1208,Peugeot,208,12350,13608,2019,10,Manual,Petrol,2
1209,Vauxhall,Astra,12350,24744,2019,5,Manual,Petrol,1
1210,Hyundai,ix20,12350,24869,2017,8,Automatic,Petrol,1
1211,Nissan,Juke,12350,28165,2018,5,Manual,Petrol,1
1212,Vauxhall,Grandland X,12350,34720,2019,1,Manual,Petrol,1
1213,Nissan,Micra,12350,18048,2019,3,Manual,Petrol,1
1214,Ford,Fiesta,12350,25800,2020,2,Manual,Petrol,1
1215,Vauxhall,Mokka X,12350,17589,2018,11,Manual,Petrol,1
1216,Seat,Arona,12350,45763,2019,3,Manual,Petrol,1
1217,Ford,Fiesta,12350,25275,2020,9,Manual,Petrol,1
1218,Ford,Fiesta,12350,43735,2020,12,Manual,Petrol,1
1219,Suzuki,Vitara,12350,22249,2017,5,Manual,Petrol,1
1220,Hyundai,i30,12350,19314,2019,5,Manual,Diesel,1
1221,Volkswagen,Polo,12350,29356,2018,9,Manual,Petrol,3
1222,Suzuki,Ignis,12350,30469,2017,3,Automatic,Petrol,3
1223,Vauxhall,Grandland X,12350,34174,2018,3,Manual,Petrol,2
1224,Audi,A1,12350,32466,2017,12,Manual,Petrol,2
1225,Citroen,C4 Cactus,12400,38859,2017,11,Automatic,Petrol,2
1226,Mazda,Mazda3,12400,39988,2017,5,Manual,Petrol,3
1227,Vauxhall,Astra,12400,57228,2019,3,Automatic,Petrol,2
1228,Vauxhall,Astra,12400,27722,2018,1,Automatic,Petrol,2
1229,Ford,Fiesta,12400,48129,2018,5,Manual,Petrol,3
1230,Volkswagen,Polo,12400,58867,2019,12,Manual,Petrol,1
1231,Mini,Hatch,12400,37346,2018,2,Manual,Petrol,1
1232,Nissan,Qashqai,12400,53066,2016,3,Manual,Petrol,2
1233,BMW,1 Series,12400,47672,2017,9,Manual,Diesel,3
1234,Fiat,500,12400,23490,2017,9,Automatic,Petrol,3
1235,Vauxhall,Corsa,12400,11123,2017,1,Automatic,Petrol,1
1236,Vauxhall,Crossland X,12400,14915,2020,9,Manual,Petrol,1
1237,Mazda,Mazda3,12400,17002,2017,5,Manual,Petrol,1
1238,Citroen,C3 Aircross,12400,25720,2019,1,Manual,Petrol,1
1239,Toyota,Yaris,12400,33352,2017,6,Automatic,Petrol,3
1240,Vauxhall,Astra,12400,18661,2019,10,Manual,Petrol,2
1241,Ford,S-Max,12400,96145,2017,11,Manual,Diesel,1
1242,Ford,Focus,12400,26033,2017,3,Automatic,Petrol,2
1243,Nissan,Qashqai,12400,33540,2019,6,Manual,Diesel,1
1244,Dacia,Duster,12400,3429,2021,9,Manual,Petrol,1
1245,Fiat,500,12400,11875,2016,9,Automatic,Petrol,1
1246,Vauxhall,Grandland X,12400,48809,2019,1,Manual,Diesel,1
1247,Ford,EcoSport,12400,35128,2019,9,Manual,Petrol,1
1248,Ford,EcoSport,12400,21749,2018,3,Manual,Petrol,2
1249,Citroen,C3,12400,9195,2020,7,Manual,Petrol,3
1250,Ford,Focus,12400,21123,2017,4,Manual,Petrol,4
1251,Fiat,500,12400,3076,2021,4,Manual,Petrol,n/a
1252,Kia,Picanto,12450,27310,2019,3,Manual,Petrol,1
1253,Vauxhall,Astra,12450,27716,2018,4,Manual,Petrol,2
1254,Ford,Fiesta,12450,12611,2019,9,Manual,Petrol,1
1255,Renault,Clio,12450,21530,2019,5,Manual,Petrol,2
1256,Volkswagen,Polo,12450,32499,2018,1,Manual,Petrol,2
1257,Citroen,C3 Aircross,12450,35073,2018,3,Manual,Petrol,2
1258,Audi,A1,12450,48551,2017,7,Manual,Petrol,2
1259,Nissan,X-Trail,12450,84308,2018,3,Manual,Diesel,1
1260,Kia,Picanto,12450,19864,2019,3,Manual,Petrol,2
1261,Honda,Civic,12450,41726,2017,6,Manual,Diesel,2
1262,Volkswagen,Golf,12450,58275,2016,3,Manual,Petrol,1
1263,Skoda,Octavia,12450,56788,2019,6,Automatic,Petrol,2
1264,Mazda,Mazda6,12450,35775,2017,11,Manual,Diesel,2
1265,Vauxhall,Crossland X,12450,20489,2019,7,Manual,Petrol,2
1266,Suzuki,Ignis,12450,17863,2019,9,Manual,Petrol,n/a
1267,Volkswagen,Polo,12450,34175,2018,5,Manual,Petrol,2
1268,Nissan,Qashqai,12450,35631,2018,3,Manual,Petrol,2
1269,Ford,Fiesta,12450,26354,2020,10,Manual,Petrol,1
1270,Volkswagen,Polo,12450,26348,2018,12,Manual,Petrol,1
1271,Ford,Fiesta,12450,26728,2020,11,Manual,Petrol,1
1272,Vauxhall,Astra,12450,26302,2018,12,Manual,Petrol,2
1273,Vauxhall,Corsa,12450,6523,2017,9,Automatic,Petrol,1
1274,Vauxhall,Mokka X,12450,41576,2018,10,Automatic,Petrol,1
1275,DS,DS 5,12450,29776,2018,6,Manual,Diesel,1
1276,Ford,EcoSport,12450,21181,2019,8,Manual,Petrol,1
1277,Ford,EcoSport,12450,33234,2018,6,Manual,Petrol,2
1278,Ford,EcoSport,12450,62049,2019,2,Automatic,Petrol,1
1279,MG,MG3,12450,9115,2021,12,Manual,Petrol,1
1280,Fiat,500,12450,5695,2021,6,Manual,Petrol,n/a
1281,Vauxhall,Corsa,12500,27899,2018,1,Automatic,Petrol,1
1282,Fiat,500,12500,12927,2020,10,Manual,Petrol,n/a
1283,Suzuki,Swift,12500,7919,2019,3,Manual,Petrol,1
1284,Skoda,Fabia,12500,19775,2017,12,Manual,Petrol,1
1285,Ford,Grand C-Max,12500,43146,2017,1,Automatic,Diesel,2
1286,Nissan,Micra,12500,18785,2019,3,Manual,Petrol,1
1287,Vauxhall,Insignia,12500,57898,2019,1,Manual,Petrol,1
1288,Skoda,Octavia,12500,49282,2019,6,Automatic,Petrol,2
1289,Ford,Fiesta,12500,23614,2018,8,Manual,Petrol,3
1290,Kia,Sportage,12500,54728,2016,3,Manual,Diesel,1
1291,Smart,forfour,12500,5984,2018,12,Automatic,Petrol,3
1292,Honda,CR-V,12500,58262,2017,3,Manual,Petrol,2
1293,Mazda,Mazda2,12500,15458,2019,8,Manual,Petrol,1
1294,Ford,Focus,12500,32963,2017,3,Manual,Petrol,4
1295,Volkswagen,Polo,12500,18734,2016,8,Manual,Petrol,3
1296,Dacia,Logan MCV,12550,2157,2020,3,Manual,Petrol,1
1297,Ford,Ka+,12550,7111,2019,9,Manual,Petrol,1
1298,Ford,Focus,12550,61205,2018,11,Manual,Diesel,1
1299,Vauxhall,Astra,12550,15615,2018,9,Manual,Petrol,2
1300,Audi,A1,12550,34127,2017,7,Manual,Petrol,2
1301,Citroen,C4 Cactus,12550,16251,2019,6,Manual,Diesel,2
1302,Ford,Fiesta,12550,16024,2020,11,Manual,Petrol,1
1303,Volkswagen,Polo,12550,39468,2016,9,Automatic,Petrol,1
1304,Ford,Fiesta,12550,22878,2019,9,Manual,Petrol,1
1305,Audi,A1,12550,54838,2018,5,Manual,Diesel,1
1306,Ford,Fiesta,12550,18325,2020,10,Manual,Petrol,1
1307,Vauxhall,Corsa,12550,14730,2020,7,Manual,Petrol,1
1308,Ford,Fiesta,12550,15852,2020,10,Manual,Petrol,1
1309,Mini,Hatch,12550,31918,2018,6,Manual,Petrol,2
1310,Vauxhall,Corsa,12550,25944,2020,3,Manual,Petrol,1
1311,Fiat,500,12550,7960,2018,9,Automatic,Petrol,1
1312,Vauxhall,Mokka X,12550,9275,2017,5,Manual,Petrol,3
1313,Nissan,Qashqai,12550,58602,2016,7,Manual,Diesel,4
1314,Ford,Fiesta,12550,32206,2019,6,Manual,Petrol,1
1315,Nissan,Qashqai,12600,57949,2016,3,Manual,Diesel,2
1316,Nissan,Qashqai,12600,57949,2016,3,Manual,Diesel,2
1317,Vauxhall,Astra,12600,22994,2016,3,Manual,Petrol,2
1318,Ford,Fiesta,12600,25162,2019,10,Manual,Petrol,2
1319,Citroen,C3 Aircross,12600,34627,2019,5,Manual,Petrol,2
1320,Ford,Fiesta,12600,12406,2019,9,Manual,Petrol,1
1321,Peugeot,208,12600,26407,2019,12,Manual,Diesel,2
1322,Vauxhall,Mokka X,12600,17728,2017,10,Manual,Petrol,3
1323,Hyundai,KONA,12600,45077,2019,9,Manual,Petrol,2
1324,Kia,Picanto,12600,15287,2018,12,Manual,Petrol,1
1325,Ford,Fiesta,12600,6074,2016,5,Automatic,Petrol,1
1326,Kia,Sportage,12600,49502,2017,5,Manual,Diesel,1
1327,Nissan,Leaf,12600,39937,2016,3,Automatic,Electric,n/a
1328,Vauxhall,Mokka X,12600,19576,2018,12,Manual,Petrol,1
1329,Ford,Fiesta,12600,73398,2020,3,Automatic,Petrol,1
1330,BMW,1 Series,12600,52188,2018,3,Manual,Diesel,2
1331,Volkswagen,CC,12600,52301,2015,9,Automatic,Diesel,3
1332,Fiat,500,12600,5126,2021,3,Manual,Petrol,n/a
1333,Volkswagen,Polo,12600,42891,2018,11,Manual,Petrol,2
1334,Hyundai,TUCSON,12600,26606,2018,8,Manual,Petrol,1
1335,Vauxhall,Grandland X,12600,18608,2018,10,Manual,Petrol,1
1336,Ford,Fiesta,12600,15177,2020,2,Manual,Petrol,2
1337,Kia,Venga,12600,16136,2019,5,Automatic,Petrol,1
1338,Vauxhall,Corsa,12600,3059,2018,3,Automatic,Petrol,3
1339,Vauxhall,Grandland X,12600,24411,2018,10,Manual,Petrol,2
1340,Citroen,C3 Aircross,12600,9910,2018,12,Manual,Petrol,1
1341,Ford,Kuga,12600,31954,2015,12,Manual,Diesel,4
1342,Ford,Focus,12650,29548,2016,3,Automatic,Petrol,2
1343,Nissan,Qashqai,12650,46722,2016,1,Manual,Petrol,1
1344,Ford,Focus,12650,28900,2018,3,Manual,Petrol,2
1345,Vauxhall,Mokka,12650,20767,2015,11,Automatic,Petrol,1
1346,Seat,Ibiza,12650,66634,2018,6,Manual,Petrol,2
1347,Renault,Captur,12650,31371,2018,11,Automatic,Diesel,1
1348,Vauxhall,Mokka X,12650,48878,2018,9,Automatic,Petrol,2
1349,Ford,Kuga,12650,45283,2018,11,Manual,Diesel,1
1350,Ford,Fiesta,12650,11115,2018,5,Manual,Petrol,1
1351,Seat,Ibiza,12650,21728,2019,4,Manual,Petrol,3
1352,Ford,Fiesta,12650,45622,2017,5,Manual,Petrol,3
1353,Mini,Countryman,12650,33857,2016,10,Manual,Petrol,3
1354,Toyota,AYGO,12650,2105,2019,3,Automatic,Petrol,1
1355,Nissan,Qashqai,12650,31199,2017,3,Manual,Petrol,3
1356,Peugeot,308,12650,24011,2021,8,Manual,Diesel,1
1357,Vauxhall,Grandland X,12650,32931,2019,5,Manual,Petrol,1
1358,Ford,Fiesta,12650,23582,2020,11,Manual,Petrol,1
1359,Dacia,Sandero,12650,5713,2021,9,Manual,Petrol,1
1360,Nissan,Juke,12650,14730,2019,3,Manual,Petrol,1
1361,Vauxhall,Crossland X,12650,38989,2019,9,Manual,Petrol,2
1362,Vauxhall,Astra,12650,23042,2021,3,Manual,Diesel,2
1363,Vauxhall,Corsa,12650,37012,2017,3,Manual,Petrol,2
1364,Ford,Fiesta,12650,14068,2020,2,Manual,Petrol,2
1365,Peugeot,308,12650,28511,2016,10,Automatic,Diesel,3
1366,Nissan,Leaf,12700,39148,2016,12,Automatic,Electric,n/a
1367,Volkswagen,Polo,12700,39239,2019,1,Manual,Petrol,1
1368,Dacia,Duster,12700,29108,2017,5,Automatic,Diesel,4
1369,Ford,Kuga,12700,58280,2016,3,Automatic,Petrol,2
1370,Ford,Fiesta,12700,46178,2019,7,Manual,Petrol,1
1371,Fiat,500,12700,7651,2019,12,Automatic,Petrol,1
1372,Skoda,Octavia,12700,42525,2017,3,Manual,Diesel,1
1373,Ford,Focus,12700,34712,2017,6,Manual,Petrol,3
1374,Ford,Fiesta,12700,25882,2018,5,Manual,Petrol,1
1375,Vauxhall,Astra,12700,15024,2017,12,Automatic,Petrol,1
1376,Peugeot,308,12700,22459,2018,11,Manual,Diesel,3
1377,Citroen,Berlingo,12700,29996,2016,7,Automatic,Diesel,2
1378,Volkswagen,Golf,12700,71282,2019,11,Manual,Diesel,1
1379,BMW,2 Series Active Tourer,12700,62222,2016,12,Automatic,Diesel,3
1380,Fiat,500,12700,2570,2021,2,Manual,Petrol,n/a
1381,Ford,Fiesta,12700,19227,2020,9,Manual,Petrol,1
1382,Vauxhall,Grandland X,12700,24776,2019,2,Manual,Petrol,1
1383,Audi,A1,12700,31343,2017,3,Manual,Petrol,2
1384,Ford,Fiesta,12700,19131,2020,9,Manual,Petrol,1
1385,Nissan,Micra,12700,24365,2021,4,Manual,Petrol,n/a
1386,Vauxhall,Insignia,12700,40307,2019,3,Manual,Petrol,2
1387,Vauxhall,Grandland X,12700,16478,2018,10,Manual,Petrol,1
1388,Hyundai,TUCSON,12700,38340,2017,1,Manual,Diesel,2
1389,Ford,EcoSport,12700,10300,2019,6,Manual,Petrol,1
1390,Ford,Fiesta,12700,25138,2020,1,Manual,Petrol,3
1391,Kia,Picanto,12750,7707,2018,10,Automatic,Petrol,2
1392,Dacia,Duster,12750,18403,2017,3,Manual,Diesel,1
1393,Ford,Focus,12750,16426,2017,9,Manual,Petrol,1
1394,Mazda,Mazda6,12750,46688,2016,9,Manual,Diesel,3
1395,Fiat,500X,12750,30593,2016,1,Automatic,Petrol,6
1396,Vauxhall,Crossland X,12750,11075,2019,6,Manual,Petrol,1
1397,Ford,Focus,12750,35243,2017,12,Manual,Diesel,2
1398,Renault,Kadjar,12750,49810,2017,9,Automatic,Diesel,3
1399,Ford,Fiesta,12750,5769,2016,11,Automatic,Petrol,1
1400,Dacia,Duster,12750,27012,2019,3,Manual,Petrol,2
1401,Ford,Fiesta,12750,19817,2019,8,Manual,Petrol,2
1402,Ford,Focus,12750,37037,2017,12,Manual,Petrol,1
1403,Seat,Arona,12750,25644,2019,12,Manual,Petrol,1
1404,Seat,Leon,12750,40614,2018,1,Manual,Petrol,1
1405,Ford,Fiesta,12750,13611,2019,5,Manual,Petrol,1
1406,Renault,Zoe,12750,43997,2017,6,Automatic,Electric,n/a
1407,Audi,A1,12750,41465,2017,3,Manual,Petrol,2
1408,Hyundai,TUCSON,12750,28582,2018,5,Manual,Petrol,2
1409,Ford,Fiesta,12750,18091,2020,9,Manual,Petrol,1
1410,Ford,Fiesta,12750,18091,2020,9,Manual,Petrol,1
1411,Ford,Fiesta,12750,14808,2020,10,Manual,Petrol,1
1412,Ford,Fiesta,12750,18677,2020,9,Manual,Petrol,1
1413,Ford,Kuga,12750,40889,2019,3,Manual,Diesel,1
1414,Ford,Fiesta,12750,11578,2019,6,Manual,Petrol,3
1415,Peugeot,308,12750,25750,2021,4,Manual,Petrol,1
1416,Vauxhall,Grandland X,12750,24948,2019,3,Manual,Petrol,2
1417,Ford,C-Max,12750,10440,2019,6,Manual,Petrol,3
1418,Toyota,Yaris,12750,11403,2020,6,Manual,Petrol,3
1419,Fiat,500,12750,21618,2019,11,Automatic,Petrol,2
1420,Volvo,V40,12750,59055,2016,6,Automatic,Diesel,3
1421,Mini,Hatch,12750,22454,2019,1,Manual,Petrol,1
1422,Kia,Picanto,12750,5941,2018,11,Automatic,Petrol,2
1423,Ford,Fiesta,12750,25410,2019,6,Manual,Petrol,3
1424,Vauxhall,Mokka X,12800,27486,2018,11,Manual,Petrol,2
1425,Kia,Ceed,12800,38349,2018,6,Manual,Petrol,4
1426,Smart,fortwo,12800,15399,2019,1,Automatic,Petrol,3
1427,Seat,Leon,12800,38322,2017,4,Manual,Petrol,2
1428,Skoda,Octavia,12800,44273,2016,11,Automatic,Petrol,2
1429,Volkswagen,Polo,12800,40214,2018,11,Manual,Petrol,2
1430,Ford,Fiesta,12800,27277,2019,7,Manual,Petrol,1
1431,Kia,Sportage,12800,73115,2019,5,Manual,Diesel,1
1432,BMW,1 Series,12800,41933,2015,9,Manual,Petrol,2
1433,Mini,Hatch,12800,48544,2019,3,Manual,Petrol,1
1434,Vauxhall,Mokka X,12800,16516,2018,11,Manual,Petrol,2
1435,Volkswagen,Polo,12800,54607,2020,9,Manual,Petrol,1
1436,Audi,A1,12800,32005,2018,8,Manual,Petrol,2
1437,Ford,Fiesta,12800,20394,2020,10,Manual,Petrol,1
1438,Kia,Picanto,12800,13201,2019,9,Manual,Petrol,1
1439,Ford,Fiesta,12800,13974,2020,10,Manual,Petrol,1
1440,Volkswagen,Polo,12800,39451,2019,3,Manual,Petrol,1
1441,Ford,Fiesta,12800,17539,2020,9,Manual,Petrol,1
1442,Ford,Fiesta,12800,14249,2020,10,Manual,Petrol,1
1443,Renault,Clio,12800,9353,2020,3,Manual,Petrol,1
1444,Ford,Kuga,12800,44653,2018,1,Manual,Diesel,2
1445,Smart,forfour,12800,51179,2019,1,Automatic,Petrol,2
1446,Ford,Kuga,12800,45708,2016,9,Manual,Diesel,2
1447,Ford,Fiesta,12800,4357,2019,4,Manual,Petrol,1
1448,Nissan,Qashqai,12800,35497,2016,5,Manual,Diesel,3
1449,Vauxhall,Mokka X,12800,13321,2018,5,Manual,Petrol,1
1450,Renault,Kadjar,12850,48025,2017,3,Manual,Petrol,3
1451,Ford,Fiesta,12850,39869,2017,5,Manual,Petrol,2
1452,Suzuki,Vitara,12850,24765,2018,7,Manual,Petrol,2
1453,Audi,A1,12850,47124,2017,1,Manual,Diesel,2
1454,Suzuki,Ignis,12850,20306,2017,3,Automatic,Petrol,3
1455,Audi,A3,12850,40775,2016,4,Manual,Petrol,2
1456,Vauxhall,Astra,12850,34031,2019,1,Automatic,Petrol,2
1457,Nissan,Qashqai,12850,60541,2015,11,Automatic,Petrol,4
1458,Nissan,Juke,12850,25650,2019,6,Manual,Petrol,2
1459,Vauxhall,Insignia,12850,52662,2019,1,Manual,Petrol,1
1460,Honda,Civic,12850,47728,2018,3,Manual,Petrol,1
1461,Mini,Convertible,12850,19531,2017,3,Manual,Petrol,2
1462,Ford,Fiesta,12850,16504,2020,9,Manual,Petrol,1
1463,Ford,Fiesta,12850,16639,2020,9,Manual,Petrol,1
1464,Vauxhall,Corsa,12850,10314,2020,12,Manual,Petrol,1
1465,Mitsubishi,Eclipse Cross,12850,41831,2018,10,Manual,Petrol,2
1466,Mazda,Mazda2,12850,4248,2021,3,Manual,Petrol,n/a
1467,Ford,Fiesta,12850,21409,2020,9,Manual,Petrol,2
1468,Renault,Clio,12900,2391,2016,9,Automatic,Diesel,1
1469,Ford,Fiesta,12900,26424,2016,9,Automatic,Petrol,2
1470,Renault,Megane,12900,29880,2018,3,Manual,Diesel,1
1471,Vauxhall,Crossland X,12900,29891,2021,1,Manual,Petrol,1
1472,Vauxhall,Astra GTC,12900,34633,2018,3,Automatic,Petrol,3
1473,Mini,Hatch,12900,31081,2016,9,Manual,Petrol,3
1474,Nissan,Juke,12900,29973,2017,6,Automatic,Petrol,2
1475,Vauxhall,Corsa,12900,13449,2019,8,Automatic,Petrol,1
1476,BMW,1 Series,12900,59043,2017,6,Manual,Petrol,2
1477,BMW,3 Series,12900,43438,2016,3,Manual,Petrol,2
1478,Nissan,Juke,12900,21310,2019,6,Manual,Petrol,1
1479,Ford,Fiesta,12900,12359,2020,11,Manual,Petrol,1
1480,Vauxhall,Mokka X,12900,18800,2018,7,Automatic,Petrol,2
1481,Ford,Fiesta,12900,13049,2018,8,Manual,Petrol,3
1482,Seat,Ibiza,12900,19175,2018,7,Manual,Petrol,2
1483,Vauxhall,Mokka X,12900,10535,2019,4,Manual,Petrol,1
1484,Renault,Megane,12900,24653,2018,11,Manual,Petrol,3
1485,Vauxhall,Astra,12900,14949,2019,3,Manual,Petrol,2
1486,BMW,1 Series,12900,26747,2017,2,Manual,Diesel,3
1487,Nissan,X-Trail,12900,69210,2017,10,Manual,Diesel,3
1488,Volkswagen,Golf,12900,58753,2019,5,Manual,Diesel,2
1489,Seat,Ibiza,12950,25441,2018,11,Manual,Petrol,1
1490,Nissan,Juke,12950,20055,2016,9,Automatic,Petrol,2
1491,Vauxhall,Astra,12950,3960,2018,12,Manual,Petrol,2
1492,Peugeot,2008,12950,53573,2019,4,Automatic,Petrol,1
1493,Peugeot,2008,12950,40172,2019,5,Manual,Petrol,2
1494,Renault,Captur,12950,33549,2018,9,Manual,Petrol,2
1495,MG,GS,12950,39008,2017,9,Automatic,Petrol,4
1496,Mini,Hatch,12950,30019,2017,9,Manual,Petrol,2
1497,Jaguar,XE,12950,58848,2017,1,Automatic,Diesel,2
1498,Ford,Kuga,12950,43325,2016,3,Automatic,Diesel,2
1499,Peugeot,308,12950,20019,2021,8,Manual,Diesel,1
1500,Vauxhall,Corsa,12950,15353,2019,6,Automatic,Petrol,1
1501,Volkswagen,Passat,12950,59194,2016,9,Manual,Diesel,6
1502,Renault,Captur,12950,18950,2019,9,Manual,Petrol,2
1503,Ford,Fiesta,12950,18264,2020,10,Manual,Petrol,1
1504,Ford,Fiesta,12950,14949,2020,9,Manual,Petrol,1
1505,Ford,Fiesta,12950,23577,2019,8,Manual,Petrol,1
1506,Fiat,500X,12950,17991,2016,9,Automatic,Petrol,2
1507,Vauxhall,Insignia,12950,52634,2019,1,Manual,Petrol,1
1508,Nissan,Micra,12950,8105,2022,1,Manual,Petrol,1
1509,Vauxhall,Grandland X,12950,21263,2019,4,Manual,Petrol,1
1510,Ford,Fiesta,12950,15570,2019,3,Manual,Petrol,2
1511,Volkswagen,Polo,12950,24909,2019,3,Manual,Petrol,2
1512,Volkswagen,Golf,12950,60837,2019,4,Manual,Diesel,1
1513,Toyota,AYGO,12950,6070,2021,6,Manual,Petrol,2
1514,Vauxhall,Mokka X,12950,56028,2018,9,Automatic,Petrol,5
1515,Vauxhall,Corsa,12950,10475,2021,6,Manual,Petrol,2
1516,Vauxhall,Astra,13000,34686,2017,1,Automatic,Petrol,3
1517,Vauxhall,Mokka X,13000,19631,2018,3,Manual,Petrol,1
1518,Ford,Mondeo,13000,43009,2016,3,Manual,Petrol,2
1519,Nissan,Qashqai,13000,25345,2017,11,Manual,Petrol,3
1520,Ford,Fiesta,13000,13507,2019,5,Manual,Petrol,1
1521,Ford,Fiesta,13000,25084,2017,12,Manual,Petrol,1
1522,Vauxhall,Crossland X,13000,13004,2019,9,Manual,Petrol,1
1523,Fiat,Tipo,13000,15044,2019,3,Manual,Petrol,1
1524,Nissan,Qashqai,13000,65694,2017,9,Manual,Petrol,2
1525,Ford,Fiesta,13000,17581,2017,4,Automatic,Petrol,1
1526,Ford,Fiesta,13000,11811,2018,9,Manual,Petrol,2
1527,Mini,Hatch,13000,59275,2016,1,Automatic,Diesel,2
1528,Seat,Ibiza,13000,27846,2018,12,Manual,Petrol,2
1529,Ford,Fiesta,13000,22874,2020,10,Manual,Petrol,1
1530,Nissan,Juke,13000,18286,2017,5,Automatic,Petrol,2
1531,Ford,Mondeo,13000,43679,2018,4,Manual,Diesel,1
1532,Fiat,500,13000,4267,2021,7,Manual,Petrol,n/a
1533,Ford,Fiesta,13000,10989,2020,11,Manual,Petrol,1
1534,Volkswagen,Golf,13000,26923,2018,2,Manual,Diesel,2
1535,Ford,EcoSport,13000,30540,2019,6,Manual,Petrol,1
1536,Mini,Hatch,13000,27195,2018,3,Manual,Petrol,2
1537,Vauxhall,Mokka X,13000,30120,2018,12,Automatic,Petrol,1
1538,Mini,Hatch,13000,18952,2018,11,Manual,Petrol,1
1539,Ford,EcoSport,13000,11266,2019,1,Manual,Petrol,1
1540,Mercedes-Benz,A Class,13000,46577,2015,9,Manual,Diesel,2
1541,Toyota,Verso,13000,37476,2017,3,Manual,Diesel,4
1542,Fiat,500X,13050,40847,2016,12,Automatic,Diesel,3
1543,Volkswagen,Golf,13050,71181,2019,2,Manual,Diesel,1
1544,Nissan,Qashqai,13050,55517,2016,10,Manual,Diesel,3
1545,Volkswagen,Golf,13050,70359,2017,12,Manual,Diesel,1
1546,Ford,Fiesta,13050,33259,2017,2,Manual,Petrol,2
1547,Vauxhall,Corsa,13050,28713,2021,1,Manual,Petrol,1
1548,Ford,Fiesta,13050,64450,2019,5,Automatic,Petrol,2
1549,Nissan,Qashqai,13050,34978,2017,6,Manual,Petrol,2
1550,Ford,Fiesta,13050,41514,2021,3,Manual,Petrol,1
1551,Ford,Fiesta,13050,21163,2020,6,Manual,Petrol,1
1552,Ford,Fiesta,13050,16397,2020,10,Manual,Petrol,1
1553,Honda,Jazz,13050,3783,2014,11,Automatic,Petrol,1
1554,Smart,forfour,13050,17481,2018,5,Automatic,Electric,n/a
1555,Ford,Fiesta,13050,16379,2020,10,Manual,Petrol,1
1556,Ford,EcoSport,13050,19538,2019,4,Manual,Petrol,1
1557,Ford,Fiesta,13050,10356,2020,11,Manual,Petrol,1
1558,Volkswagen,Golf,13050,68626,2020,2,Manual,Diesel,1
1559,Nissan,Micra,13050,11965,2019,9,Manual,Petrol,3
1560,Vauxhall,Crossland X,13050,10499,2019,9,Manual,Petrol,2
1561,Vauxhall,Mokka X,13050,7519,2018,10,Automatic,Petrol,2
1562,Mini,Hatch,13050,17516,2018,9,Manual,Petrol,3
1563,Audi,A1,13050,21380,2018,7,Manual,Petrol,2
1564,Ford,EcoSport,13050,25960,2018,11,Automatic,Petrol,3
1565,Kia,Sportage,13100,35849,2016,3,Manual,Diesel,2
1566,Toyota,Yaris,13100,23101,2016,10,Automatic,Petrol,1
1567,Renault,Captur,13100,18490,2019,3,Manual,Petrol,1
1568,Volkswagen,Polo,13100,23474,2017,3,Manual,Petrol,2
1569,Mini,Hatch,13100,20545,2017,12,Manual,Petrol,2
1570,Volkswagen,Polo,13100,20709,2018,9,Manual,Petrol,1
1571,Fiat,Panda,13100,18869,2020,1,Manual,Petrol,1
1572,Ford,Focus,13100,14796,2017,10,Manual,Petrol,2
1573,Ford,Fiesta,13100,15948,2020,10,Manual,Petrol,1
1574,Ford,Fiesta,13100,15701,2020,11,Manual,Petrol,1
1575,Volkswagen,Polo,13100,24461,2018,12,Manual,Petrol,3
1576,Ford,Fiesta,13100,12614,2020,9,Manual,Petrol,1
1577,Ford,Fiesta,13100,12542,2020,9,Manual,Petrol,1
1578,Ford,Fiesta,13100,9519,2020,11,Manual,Petrol,1
1579,Nissan,Juke,13100,21256,2017,12,Automatic,Petrol,2
1580,Ford,Fiesta,13100,30340,2018,5,Automatic,Petrol,2
1581,Vauxhall,Mokka X,13100,13726,2019,4,Manual,Petrol,1
1582,Ford,Fiesta,13100,8632,2019,8,Manual,Petrol,1
1583,Ford,Kuga,13100,63343,2019,10,Manual,Petrol,1
1584,Audi,A1,13100,33754,2016,10,Manual,Petrol,2
1585,Vauxhall,Mokka X,13100,7207,2018,5,Automatic,Petrol,1
1586,Nissan,Juke,13100,8488,2019,9,Manual,Petrol,1
1587,Nissan,Qashqai,13100,37020,2019,1,Manual,Diesel,2
1588,Ford,Fiesta,13150,16172,2019,10,Manual,Petrol,1
1589,Vauxhall,Astra,13150,23567,2019,4,Manual,Petrol,1
1590,Mini,Hatch,13150,24203,2017,6,Manual,Petrol,3
1591,Kia,Sportage,13150,29943,2016,3,Manual,Diesel,4
1592,Mini,Hatch,13150,27801,2017,11,Manual,Petrol,2
1593,Volkswagen,Polo,13150,39192,2018,6,Manual,Petrol,3
1594,Volkswagen,Polo,13150,28485,2019,1,Manual,Petrol,2
1595,Ford,EcoSport,13150,27973,2018,8,Manual,Petrol,2
1596,Toyota,Auris,13150,16514,2016,6,Automatic,Petrol,2
