,Make,Model,Price (£),Mileage,Registration Year,Registration Month,Gearbox,Fuel Type,N of Owners
94,Hyundai,i10,8800,27466,2017,12,Manual,Petrol,1
95,Vauxhall,Insignia,8800,57422,2016,9,Manual,Diesel,2
96,Toyota,AYGO,8800,49161,2018,3,Manual,Petrol,2
97,Toyota,AYGO,8800,43431,2018,3,Manual,Petrol,3
98,Fiat,500,8800,43757,2018,1,Manual,Petrol,1
99,Smart,forfour,8800,32411,2017,12,Manual,Petrol,2
100,Vauxhall,Mokka,8800,39679,2015,9,Manual,Diesel,3
101,Nissan,Pulsar,8800,55306,2018,3,Manual,Petrol,2
102,Nissan,Note,8800,34511,2017,3,Manual,Diesel,2
103,Citroen,C3 Picasso,8800,7895,2014,11,Manual,Diesel,2
104,Vauxhall,Astra,8850,61730,2016,7,Manual,Petrol,2
105,Fiat,500,8850,54063,2018,9,Manual,Petrol,4
106,Smart,forfour,8850,21958,2016,9,Manual,Petrol,4
107,Honda,Jazz,8850,50950,2016,3,Manual,Petrol,3
108,Ford,Fiesta,8850,51097,2016,5,Manual,Diesel,2
109,Citroen,C1,8850,7373,2019,9,Manual,Petrol,2
110,Kia,Soul,8850,36693,2018,9,Manual,Petrol,1
111,Peugeot,208,8900,33685,2017,6,Manual,Petrol,2
112,Vauxhall,Corsa,8900,39385,2018,7,Manual,Petrol,2
113,Fiat,500,8900,39282,2018,6,Manual,Petrol,2
114,Ford,Focus,8900,80331,2018,1,Manual,Petrol,1
115,Ford,EcoSport,8900,48057,2016,7,Manual,Petrol,2
116,Vauxhall,ADAM,8900,22242,2015,9,Manual,Petrol,1
117,Kia,Picanto,8900,18320,2018,9,Manual,Petrol,2
118,Fiat,500,8950,46095,2017,6,Manual,Petrol,2
119,Vauxhall,Astra,8950,60023,2015,12,Manual,Petrol,3
120,Vauxhall,Corsa,8950,30218,2016,3,Manual,Petrol,3
121,Ssangyong,Tivoli,8950,31800,2016,4,Manual,Diesel,4
122,Toyota,AYGO,8950,37718,2018,3,Manual,Petrol,2
123,Vauxhall,ADAM,9000,37986,2016,12,Manual,Petrol,3
124,Hyundai,i10,9000,18987,2017,5,Manual,Petrol,1
125,Vauxhall,Corsa,9000,40456,2017,3,Manual,Petrol,2
126,Fiat,500,9000,24847,2018,9,Manual,Petrol,2
127,Mazda,Mazda2,9000,38084,2015,11,Manual,Diesel,4
128,Volkswagen,up!,9050,35511,2018,1,Manual,Petrol,2
129,Vauxhall,Corsa,9050,33078,2017,7,Manual,Petrol,2
130,Ford,Fiesta,9050,44211,2016,3,Manual,Petrol,4
131,Vauxhall,Astra,9050,81095,2018,3,Manual,Diesel,1
132,Suzuki,Baleno,9050,30467,2017,6,Manual,Petrol,3
133,Toyota,AYGO,9100,39000,2018,3,Manual,Petrol,3
134,Vauxhall,Corsa,9100,26463,2017,3,Manual,Petrol,2
135,Smart,forfour,8850,4083,2018,9,Manual,Petrol,1
136,Fiat,500,9100,22321,2017,6,Manual,Petrol,1
137,Fiat,500,9100,34581,2019,3,Manual,Petrol,1
138,Renault,Captur,9100,50584,2016,3,Manual,Diesel,3
139,Volkswagen,Polo,9100,54958,2017,6,Manual,Petrol,2
140,Kia,Soul,9100,31692,2018,9,Manual,Petrol,1
141,Kia,Soul,9100,31884,2018,10,Manual,Petrol,1
142,Renault,Clio,9100,22884,2016,9,Manual,Petrol,2
143,Skoda,Citigo,9100,13259,2017,3,Manual,Petrol,2
144,Vauxhall,Corsa,9150,41494,2018,5,Manual,Petrol,3
145,Skoda,Rapid Spaceback,9150,43525,2016,8,Manual,Petrol,4
146,Nissan,Juke,9150,30458,2016,1,Manual,Diesel,2
147,Nissan,Pulsar,9150,49500,2016,9,Manual,Diesel,3
148,Kia,Picanto,9150,10490,2019,4,Manual,Petrol,1
149,Ford,Fiesta,9150,24436,2016,1,Manual,Petrol,2
150,Vauxhall,Astra,9150,62480,2016,6,Manual,Petrol,2
